name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Balansia obtecta B249,1405085,45.45,71254.0,3.91,4.0,29487
Malassezia restricta CBS 7877,425264,54.55,85528.0,8.71,8.69,12716
