name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage SMSAP5,1168612,14.29,176515.0,41.87,13.01,305
Staphylococcus phage tp310-2,445516,17.51,216296.0,39.22,14.36,1059
Staphylococcus phage YMC/09/04/R1988,1399949,5.73,70820.0,39.26,3.6,114
Staphylococcus phage StauST398-5,1308897,1.54,19036.0,3.37,12.16,150
Staphylococcus phage StB27,1147044,0.63,7805.0,1.26,1.3,335
Staphylococcus phage StB20,1147043,8.39,103669.0,10.82,11.0,4380
Staphylococcus phage Slt,130478,7.44,91845.0,45.24,2.68,78
Staphylococcus phage 3A,215167,4.4,54286.0,38.73,2.97,96
Staphylococcus phage 42E,320837,8.35,103110.0,35.59,6.07,416
Staphylococcus phage Pvl108,360398,0.99,12254.0,10.51,5.15,126
Staphylococcus phage Ipla5,1197952,2.59,32029.0,2.96,3.99,2239
Staphylococcus phage CNPH82,398839,0.8,9920.0,1.6,2.07,265
Pa6virus,1982251,0.6,7413.0,2.92,2.92,11
Staphylococcus phage phiPVL-CN125,648017,2.43,30028.0,4.8,1.46,17
Merkel cell polyomavirus,493803,19.8,244567.0,32.94,33.12,1097
Staphylococcus phage phi2958PVL,430796,3.04,37565.0,40.71,3.89,49
Staphylococcus phage tp310-3,445517,1.46,18010.0,2.93,21.87,257
