name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,8.85,382,6
Staphylococcus_u_s,1279,14.75,636,73
Staphylococcus haemolyticus,1283,5.21,225,69
Staphylococcus aureus,1280,1.91,82,81
Streptococcus agalactiae,1311,3.53,152,10
Finegoldia magna,1260,2.25,97,136
Corynebacterium jeikeium,38289,7.29,315,64
Corynebacterium pseudogenitalium,38303,19.32,833,5853
Corynebacterium tuberculostearicum,38304,19.06,823,5006
Corynebacterium ihumii,1232427,3.45,149,3318
Actinomyces neuii,33007,2.28,98,2196
Propionibacteriaceae_u_s,31957,2.94,127,250
Acinetobacter_u_s,469,2.27,98,37
Acinetobacter baumannii,470,3.0,129,17
Prevotella bivia,28125,3.9,168,1216
