name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,25.69,21182,120
Cutibacterium granulosum,33011,0.32,261,443
Propionibacterium sp. 5_U_42AFAA,450748,24.38,20102,94
Propionibacteriaceae_u_s,31957,0.12,98,116
Kocuria marina,223184,7.57,6244,208113
Kocuria_u_s,57493,0.33,268,98
Kocuria rhizophila,72000,0.64,529,7659
Rothia dentocariosa,2047,0.2,161,1134
Micrococcus luteus,1270,3.82,3150,3619
Kytococcus sedentarius,1276,0.76,630,12236
Corynebacterium jeikeium,38289,0.13,109,22
Corynebacterium glucuronolyticum,39791,0.1,78,870
Corynebacterium pseudogenitalium,38303,2.81,2322,17062
Corynebacterium tuberculostearicum,38304,2.7,2229,13595
Corynebacterium ihumii,1232427,1.17,963,18941
Corynebacterium pyruviciproducens,598660,0.34,278,6046
Corynebacterium genitalium,38288,0.15,125,2968
Corynebacterium durum,61592,0.09,77,2149
Actinomyces oris,544580,1.23,1015,13450
Actinomyces sp. oral taxon 175,712119,0.64,531,2686
Actinomyces viscosus,1656,0.58,478,1783
Mobiluncus curtisii,2051,0.1,82,66
Varibaculum cambriense,184870,0.15,121,1946
Staphylococcus capitis,29388,2.16,1783,1007
Staphylococcus epidermidis,1282,2.39,1971,24
Staphylococcus haemolyticus,1283,0.22,182,143
Staphylococcus_u_s,1279,0.42,349,635
Staphylococcus equorum,246432,0.16,133,466
Staphylococcus lugdunensis,28035,0.14,116,49
Staphylococcus pettenkoferi,170573,0.17,138,3181
Staphylococcus hominis,1290,0.47,386,135
Staphylococcus sp. M0480,1388318,0.54,442,53
Staphylococcus aureus,1280,0.44,361,191
Paenibacillus sophorae,1333845,1.63,1343,16817
Gemella_u_s,1378,0.13,109,23
Streptococcus thermophilus,1308,0.32,261,26
Streptococcus vestibularis,1343,0.19,155,371
Streptococcus anginosus,1328,0.16,129,243
Streptococcus agalactiae,1311,0.12,98,36
Streptococcus_u_s,1301,0.24,202,624
Streptococcus pseudopneumoniae,257758,0.11,90,9
Streptococcus cristatus,45634,0.11,93,124
Streptococcus mitis,28037,0.41,341,1683
Lactobacillus curvatus,28038,1.14,936,3601
Facklamia hominis,178214,0.23,186,920
Granulicatella_u_s,117563,0.17,138,12
Finegoldia magna,1260,0.42,349,3744
Peptoniphilus lacrimalis,33031,0.4,331,578
Peptoniphilus sp. oral taxon 836,671216,0.34,281,266
Peptoniphilus grossensis,1465756,0.29,237,2330
Peptoniphilus senegalensis,1465757,0.1,80,746
Anaerococcus prevotii,33034,0.4,326,3416
Anaerococcus obesiensis,1287640,0.21,170,891
Anaerococcus vaginalis,33037,0.17,139,674
Anaerococcus hydrogenalis,33029,0.1,80,92
Anaerococcus senegalensis,1288120,0.21,175,1274
Anaerococcus provencensis,938293,0.13,109,1549
Tissierellia bacterium S7-1-4,1284708,0.96,789,9135
Clostridiales bacterium S5-A14a,1230734,0.17,141,1756
Fenollaria massiliensis,938288,1.06,878,9053
Levyella massiliensis,938289,0.41,339,4953
Faecalibacterium prausnitzii,853,0.12,103,72
Ruminococcus_u_s,1263,0.19,153,9
Veillonella_u_s,29465,0.1,82,24
Dialister_u_s,39948,0.82,678,10
Acinetobacter johnsonii,40214,0.21,174,758
Acinetobacter ursingii,108980,0.11,92,42
Enhydrobacter aerosaccus,225324,2.8,2310,22738
Campylobacter hominis,76517,0.13,105,1172
Neisseriaceae_u_s,481,0.11,91,24
Porphyromonas uenonis,281920,0.43,352,5530
Porphyromonas somerae,322095,0.09,76,1646
Porphyromonas bennonis,501496,0.28,232,3628
Prevotella sp. S7-1-8,1284775,0.77,631,15060
Prevotella_u_s,838,0.97,798,28
Prevotella timonensis,386414,0.32,264,4185
Prevotella corporis,28128,0.31,257,5357
Prevotella veroralis,28137,0.21,172,1000
Prevotella nigrescens,28133,0.18,145,996
Prevotella oris,28135,0.1,81,493
Prevotella bivia,28125,0.1,82,8
Bacteroides_u_s,816,0.22,186,11
