name,tax_id,relative_abundance,abundance_score,hit_frequency
Propionibacterium sp. 5_U_42AFAA_u_t,450748,24.38,20102,94
Propionibacteriaceae_u_t,31957,0.12,98,116
Kocuria_u_t,57493,0.33,268,98
Staphylococcus_u_t,1279,0.42,349,635
Staphylococcus sp. M0480_u_t,1388318,0.54,442,53
Gemella_u_t,1378,0.13,109,23
Streptococcus_u_t,1301,0.24,202,624
Granulicatella_u_t,117563,0.17,138,12
Tissierellia bacterium S7-1-4_u_t,1284708,0.96,789,9135
Clostridiales bacterium S5-A14a_u_t,1230734,0.17,141,1756
Ruminococcus_u_t,1263,0.19,153,9
Veillonella_u_t,29465,0.1,82,24
Dialister_u_t,39948,0.82,678,10
Neisseriaceae_u_t,481,0.11,91,24
Prevotella sp. S7-1-8_u_t,1284775,0.77,631,15060
Prevotella_u_t,838,0.97,798,28
Bacteroides_u_t,816,0.22,186,11
