name,tax_id,relative_abundance,abundance_score,hit_frequency
Propionibacteriaceae,31957,25.938100000000002,41643.030000000006,773
Micrococcaceae,1268,7.619830000000001,10352.609999999999,220623
Dermacoccaceae,145357,0.76,630,12236
Corynebacteriaceae,1653,0.20364000000000002,6181.98,61653
Actinomycetaceae,2049,1.24471,2227.6000000000004,19931
Staphylococcaceae,90964,2.20946,5861.39,5884
Paenibacillaceae,186822,1.63,1343,16817
Bacillales_u_f,1385,0.13,109,23
Streptococcaceae,1300,0.33343000000000006,1368.79,3116
Lactobacillaceae,33958,1.14,936,3601
Aerococcaceae,186827,0.23,186,920
Carnobacteriaceae,186828,0.17,138,12
Peptoniphilaceae,1570339,0.4433600000000001,2275.29,15560
Tissierellia_u_f,1737404,0.96,789,9135
Clostridiales Family XIII. Incertae Sedis,543314,0.17,141,1756
Clostridiales_u_f,186802,1.0641100000000001,1217.02,14006
Ruminococcaceae,541000,0.12186,256.01,81
Veillonellaceae,31977,0.10823,760.46,34
Moraxellaceae,468,0.21111,265.71,800
Rhodospirillales_u_f,204441,2.8,2310,22738
Campylobacteraceae,72294,0.13,105,1172
Neisseriaceae,481,0.11,91,24
Porphyromonadaceae,171551,0.43373999999999996,660.06,10804
Prevotellaceae,171552,0.7918300000000001,2430.4100000000003,27127
Bacteroidaceae,815,0.22,186,11
