name,tax_id,relative_abundance,abundance_score,hit_frequency
Acinetobacter,469,4.310329999999999,16491.15,22169
Pseudomonas,286,15.50065,16075.279999999999,332280
Aeromonas,642,1.2220199999999999,1520.77,1579
Leclercia,83654,0.15,97,2437
Klebsiella,570,0.16,101,341
Shewanella,22,0.14,86,919
Halomonas,2745,0.15,94,16
Comamonas,283,0.28,177,1936
Neisseria,482,0.13,80,32
Brevundimonas,41275,0.14,88,26
Aerococcus,1375,12.90212,8900.92,117132
Enterococcus,1350,0.6,380,31
Streptococcus,1301,0.21338,346.36,494
Staphylococcus,1279,1.7388299999999999,4776.400000000001,10879
Jeotgalicoccus,227979,1.3546500000000001,1146.65,19396
Exiguobacterium,33986,0.13,82,931
Finegoldia,150022,0.15,96,890
Anaerococcus,165779,0.22145,233.84,61
Peptoniphilus,162289,0.13122,160.94,1005
Clostridium,1485,0.14,90,317
Veillonella,29465,0.21,133,126
Rothia,32207,0.39,247,994
Kocuria,57493,0.18,114,1095
Micrococcus,1269,10.82,6829,8341
Brevibacterium,1696,0.17,105,2530
Corynebacterium,1716,0.38016000000000005,3998.73,32805
Propionibacteriaceae_u_g,31957,0.48,302,52
Actinomyces,1654,0.2,124,2563
Empedobacter,59734,0.4,251,4909
