name,tax_id,relative_abundance,abundance_score,hit_frequency
Moraxellaceae,468,4.310329999999999,16491.15,22169
Pseudomonadaceae,135621,15.50065,16075.279999999999,332280
Aeromonadaceae,84642,1.2220199999999999,1520.77,1579
Enterobacteriaceae,543,0.15159999999999998,197.75,2778
Shewanellaceae,267890,0.14,86,919
Halomonadaceae,28256,0.15,94,16
Comamonadaceae,80864,0.28,177,1936
Neisseriaceae,481,0.13,80,32
Caulobacteraceae,76892,0.14,88,26
Aerococcaceae,186827,12.90212,8900.92,117132
Enterococcaceae,81852,0.6,380,31
Streptococcaceae,1300,0.21338,346.36,494
Staphylococcaceae,90964,1.757,5923.27,30275
Bacillales_u_f,1385,0.13,82,931
Peptoniphilaceae,1570339,0.15624,490.22999999999996,1956
Clostridiaceae,31979,0.14,90,317
Veillonellaceae,31977,0.21,133,126
Micrococcaceae,1268,0.49998000000000004,7189.400000000001,10430
Brevibacteriaceae,85019,0.17,105,2530
Corynebacteriaceae,1653,0.38016000000000005,3998.73,32805
Propionibacteriaceae,31957,0.48,302,52
Actinomycetaceae,2049,0.2,124,2563
Flavobacteriaceae,49546,0.4,251,4909
