name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,17.42,4579100.0,91.23,86.43,5005
Staphylococcus aureus GENE 1602 Branch,,-,1.34,352611.0,40.71,55.56,69
Staphylococcus aureus GENE qacC,,-,20.69,5437643.0,100.0,100.0,4910
Staphylococcus aureus GI 33390940,,-,3.75,985624.0,64.54,64.54,2037
Staphylococcus aureus GENE thyA,,-,2.15,564568.0,75.19,75.19,748
Staphylococcus aureus GI 33390920,,-,1.68,442540.0,74.52,74.52,209
Staphylococcus aureus GI 33390942,,-,1.44,379058.0,76.83,76.83,96
Staphylococcus aureus GENE dfrA,,-,1.2,315098.0,49.79,49.79,245
Staphylococcus aureus GI 33390947,,-,0.85,224114.0,54.84,54.84,38
Staphylococcus aureus GI 33390945,,-,0.6,157762.0,43.94,43.94,29
Staphylococcus lentus GENE repL,,-,6.72,1766402.0,100.0,100.0,2033
Staphylococcus lentus GENE ermC,,-,5.13,1348135.0,100.0,100.0,2005
Staphylococcus lentus GENE tetK,,-,3.89,1021340.0,93.98,93.98,2291
Staphylococcus lentus GENE pre,,-,3.02,793334.0,83.77,83.77,1308
Staphylococcus lentus GENE repC,,-,2.31,607322.0,76.8,76.8,767
Staphylococcus lentus GI 60416745,,-,1.2,314721.0,100.0,100.0,19
Staphylococcus lentus GI 60416748,,-,0.82,216370.0,50.0,50.0,27
Proteus mirabilis GENE tnpA,,-,3.47,911738.0,100.0,100.0,146
Vibrio cholerae GENE intI1,,-,1.93,508223.0,100.0,100.0,50
Parabacteroides distasonis GI 32395282,,-,0.97,254046.0,59.78,59.78,56
Klebsiella pneumoniae GENE tnpA,,-,3.9,1023489.0,93.36,93.36,984
Klebsiella pneumoniae GI 42543951,,-,0.35,91968.0,57.14,57.14,4
Pseudomonas putida GENE qacEdelta1,,-,0.98,258560.0,100.0,100.0,12
Pseudomonas aeruginosa GENE tnpR,,-,1.74,456113.0,43.58,43.58,856
Escherichia coli GENE aphA7,,-,4.7,1235550.0,95.0,95.0,1772
Escherichia coli GENE qacEdelta1,,-,2.29,600681.0,100.0,100.0,117
Enterococcus faecium GI 21886745,,-,1.74,457636.0,77.81,100.0,34
Enterococcus faecalis GI 48190,,-,1.57,412987.0,54.68,54.68,703
Streptococcus pyogenes GENE msrD,,-,1.33,350766.0,46.97,46.97,572
Streptococcus pyogenes GI 52345271,,-,0.81,212376.0,45.98,45.98,81
