name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Tetracycline tetK,,-,50.74,349686.0,50.12,50.12,612
Trimethoprim dfrC,,-,49.26,339491.0,55.28,55.28,246
