name,tax_id,relative_abundance,abundance_score,hit_frequency
Streptococcus parasanguinis,1318,4.11,361,1293
Streptococcus_u_s,1301,3.36,296,66
Streptococcus infantis,68892,5.19,457,1588
Streptococcus pneumoniae,1313,1.61,142,16
Streptococcus mitis,28037,5.04,444,3172
Streptococcus pseudopneumoniae,257758,0.94,83,14
Streptococcus sp. SK643,1095727,5.8,510,4716
Streptococcus australis,113107,2.02,177,1593
Granulicatella elegans,137732,3.44,302,3764
Granulicatella adiacens,46124,1.24,110,1970
Staphylococcus capitis,29388,1.09,96,518
Staphylococcus_u_s,1279,1.96,172,71
Gemella sanguinis,84135,0.93,82,531
Gemella haemolysans,1379,1.49,131,1380
Veillonella_u_s,29465,3.71,326,248
Clostridiales_u_s,186802,3.53,310,6
Peptoniphilus lacrimalis,33031,1.98,174,661
Rothia mucilaginosa,43675,8.33,733,5693
Rothia aeria,172042,4.17,367,958
Rothia dentocariosa,2047,3.2,282,1172
Micrococcus luteus,1270,2.19,193,92
Propionibacteriaceae_u_s,31957,2.48,218,24
Actinomyces naeslundii,1655,1.99,175,3290
Neisseria mucosa,488,6.68,588,3232
Neisseria subflava,28449,1.82,160,1289
Neisseria flavescens,484,4.29,378,282
Neisseria cinerea,483,2.52,222,2370
Neisseria_u_s,482,1.78,157,70
Enhydrobacter aerosaccus,225324,1.29,114,1386
Haemophilus parainfluenzae,729,1.69,148,1126
Haemophilus_u_s,724,1.38,121,26
Prevotella_u_s,838,3.25,286,492
Prevotella nanceiensis,425941,2.15,190,3387
Porphyromonas_u_s,836,3.35,295,1841
