name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage Ipla5,1197952,9.18,772452.0,27.56,18.42,27386
Staphylococcus phage PH15,399185,6.1,512865.0,24.81,9.84,16387
Staphylococcus phage CNPH82,398839,13.37,1124380.0,31.33,25.93,41982
Staphylococcus phage Ipla7,1197953,8.22,691484.0,28.22,21.34,17800
Staphylococcus phage 80alpha,53369,0.34,28881.0,4.3,4.07,21
Staphylococcus phage 6ec,1500386,15.72,1322015.0,49.21,33.62,121828
Staphylococcus phage vB_SepS_SEP9,1434319,10.77,905598.0,40.45,19.41,107821
Staphylococcus phage StB27,1147044,0.86,72221.0,3.85,4.16,6886
Staphylococcus phage StB12,1147042,0.31,26248.0,2.45,2.55,2239
unclassified Siphoviridae,196894,0.11,9203.0,1.92,3.8,86
Staphylococcus phage StB20,1147043,34.27,2882699.0,56.85,56.19,226089
Brochothrix phage BL3,764562,0.25,21061.0,3.04,3.08,758
Propionibacterium phage P105,1229788,0.11,9527.0,1.98,1.14,40
Human papillomavirus type 5,333923,0.3,25540.0,1.42,1.42,680
Viruses,10239,0.08,6926.0,1.1,1.1,35
