name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Balansia obtecta B249,1405085,6.06,23369.0,0.8,0.81,13972
Alternaria alternata,5599,0.38,1450.0,0.28,0.22,452
Debaryomyces hansenii CBS767,284592,0.19,736.0,0.13,0.12,238
Melampsora pinitorqua Mpini7,1298852,0.58,2225.0,0.27,0.11,1695
Malassezia sympodialis ATCC 42132,1230383,0.34,1308.0,0.2,0.2,403
Malassezia restricta CBS 7877,425264,69.07,266216.0,21.4,21.39,51853
Malassezia globosa CBS 7966,425265,23.39,90137.0,8.28,8.27,17867
