name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,27.74,5704,14
Staphylococcus haemolyticus,1283,10.44,2146,823
Staphylococcus aureus,1280,10.25,2108,140
Staphylococcus warneri,1292,9.72,1998,8
Staphylococcus pasteuri,45972,14.8,3043,31282
Staphylococcus lugdunensis,28035,15.53,3193,3247
Bacillus_u_s,1386,0.39,81,13
Corynebacterium pseudogenitalium,38303,3.55,731,5106
Corynebacterium tuberculostearicum,38304,3.5,719,4315
Corynebacterium kroppenstedtii,161879,0.92,189,4536
Actinomyces neuii,33007,2.48,510,9428
Propionibacteriaceae_u_s,31957,0.69,142,6
