name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,29.94,10761,143
Staphylococcus capitis,29388,9.91,3561,2884
Staphylococcus sp. TE8,1472720,0.56,202,384
Staphylococcus lugdunensis,28035,2.67,959,119
Staphylococcus_u_s,1279,0.25,88,170
Staphylococcus aureus,1280,0.74,265,8
Streptococcus_u_s,1301,0.34,123,13
Finegoldia magna,1260,5.83,2094,22924
Anaerococcus hydrogenalis,33029,0.39,138,914
Anaerococcus senegalensis,1288120,3.69,1324,11612
Anaerococcus_u_s,165779,0.28,101,319
Peptoniphilus_u_s,162289,0.51,183,101
Peptoniphilus harei,54005,1.49,536,4988
Peptoniphilus rhinitidis,1175452,0.23,82,813
Peptostreptococcus anaerobius,1261,0.36,128,346
Solobacterium moorei,102148,0.3,107,652
Corynebacterium sp. KPL1856,1203563,23.12,8309,42
Corynebacterium pseudogenitalium,38303,1.67,601,1220
Corynebacterium kroppenstedtii,161879,0.4,143,3492
Propionibacteriaceae_u_s,31957,2.86,1026,45
Cutibacterium avidum,33010,1.46,526,318
Actinomyces neuii,33007,11.05,3973,71276
Micrococcus luteus,1270,0.95,340,475
Rothia dentocariosa,2047,0.21,76,630
Acinetobacter_u_s,469,0.3,108,8
Acinetobacter baumannii,470,0.28,100,14
Haemophilus parainfluenzae,729,0.23,82,151
