name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,39.16,6241,6
Staphylococcus warneri,1292,0.74,118,993
Staphylococcus capitis,29388,0.64,102,363
Staphylococcus_u_s,1279,2.07,330,932
Staphylococcus hominis,1290,0.54,86,243
Staphylococcus aureus,1280,0.49,78,26
Anaerococcus hydrogenalis,33029,0.89,142,700
Peptoniphilus rhinitidis,1175452,1.88,300,2713
Finegoldia magna,1260,0.6,96,209
Cutibacterium acnes,1747,20.25,3228,28
Cutibacterium granulosum,33011,3.18,507,911
Propionibacterium sp. 5_U_42AFAA,450748,20.21,3221,136
Propionibacteriaceae_u_s,31957,0.94,150,46
Kocuria rhizophila,72000,0.87,139,1949
Kocuria_u_s,57493,0.56,89,17
Micrococcus luteus,1270,0.67,106,34
Rothia mucilaginosa,43675,1.22,195,876
Rothia dentocariosa,2047,0.52,83,637
Brevibacterium casei,33889,2.51,400,9067
Klebsiella_u_s,570,0.9,144,396
Enhydrobacter aerosaccus,225324,1.16,185,1889
