name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,27.29,481363,2194
[Propionibacterium] namnetense,1574624,0.16,2808,68640
[Propionibacterium] humerusii,1050843,0.02,286,107
Propionibacteriaceae_u_s,31957,70.07,1236025,2324
Corynebacterium jeikeium,38289,0.01,104,43
Corynebacterium pseudogenitalium,38303,0.06,980,9881
Corynebacterium tuberculostearicum,38304,0.05,909,6923
Micrococcus luteus,1270,0.55,9755,24290
Staphylococcus epidermidis,1282,1.54,27162,9811
Staphylococcus capitis,29388,0.2,3598,3282
Staphylococcus sp. TE8,1472720,0.02,423,1131
Staphylococcus lugdunensis,28035,0.01,83,73
Staphylococcus_u_s,1279,0.01,126,95
Acinetobacter_u_s,469,0.01,124,88
Pseudomonas putida,303,0.01,130,254
Caulobacter sp. JGI 0001013-D04,1157680,0.01,175,3076
