name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,50.08,54791095.0,86.36,78.89,55228
Staphylococcus aureus GENE 1602 Branch,,-,1.08,1184870.0,44.29,64.44,417
Staphylococcus aureus GI 33390920,,-,17.3,18924123.0,100.0,100.0,17068
Staphylococcus aureus GENE dfrA,,-,11.59,12682920.0,91.85,91.85,16755
Staphylococcus aureus GENE thyA,,-,10.25,11209094.0,100.0,100.0,30513
Staphylococcus aureus GENE blaZ,,-,1.28,1401761.0,81.21,81.21,3100
Staphylococcus aureus GENE blaI,,-,0.6,653104.0,44.97,44.97,759
Staphylococcus epidermidis GeneID SEA1545,,-,6.08,6648404.0,100.0,100.0,8607
Staphylococcus lentus GENE repL,,-,0.93,1016891.0,100.0,100.0,934
Staphylococcus lentus GENE ermC,,-,0.55,600173.0,78.98,78.98,606
Staphylococcus lentus GI 60416748,,-,0.27,289468.0,50.0,50.0,39
