name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,72.61721,144664.72,134459
Brochothrix,2755,0.88,1518,26603
Streptococcus,1301,0.14,238,609
Leuconostoc,1243,0.22,386,2776
Abiotrophia,46123,0.07,112,1987
Veillonella,29465,0.22268,844.5899999999999,778
Selenomonas,970,0.08,137,1121
Corynebacterium,1716,0.23825999999999997,13712.32,141273
Cutibacterium,1912216,1.45,2495,25
Propionibacterium,1743,1.44,2470,34
Pseudopropionibacterium,1912217,0.06,95,2328
Actinomyces,1654,0.22329,2646.9800000000005,37240
Rothia,32207,0.10116,366.46000000000004,1904
Micrococcus,1269,0.1,170,30
Neisseria,482,0.06251999999999999,542.9799999999999,5319
Morococcus,212742,0.18,312,1696
Lautropia,47670,0.21,357,7726
Prevotella,838,0.17,284,372
Tannerella,195950,0.06,97,83
Capnocytophaga,1016,0.0811,320.51,4509
