name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Malassezia restricta CBS 7877,425264,65.46,3940.0,0.57,0.57,803
Balansia obtecta B249,1405085,34.54,2079.0,0.32,0.32,483
