name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Balansia obtecta B249,1405085,12.5,35196.0,2.08,2.09,15373
Melampsora pinitorqua Mpini7,1298852,0.45,1264.0,0.33,0.12,795
Malassezia restricta CBS 7877,425264,85.37,240370.0,21.22,21.16,38123
Malassezia globosa CBS 7966,425265,1.68,4718.0,0.68,0.66,956
