name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcaceae,90964,71.05126999999999,37276.969999999994,27054
Aerococcaceae,186827,1.56,676,6122
Peptoniphilaceae,1570339,0.41,178,123
Corynebacteriaceae,1653,1.32253,1110.1,7171
Propionibacteriaceae,31957,0.33439,334.43,1094
Actinomycetaceae,2049,0.29,125,46
Micrococcaceae,1268,5.46,2367,1916
Moraxellaceae,468,0.31636000000000003,409.56,4202
Pseudomonadaceae,135621,1.37,594,10410
Aeromonadaceae,84642,0.21,91,9
Porphyromonadaceae,171551,0.4,171,15
