name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,71.04912999999999,37184.24999999999,26978
Jeotgalicoccus,227979,0.21,93,76
Aerococcus,1375,1.56,676,6122
Finegoldia,150022,0.41,178,123
Corynebacterium,1716,1.32253,1110.1,7171
Propionibacteriaceae_u_g,31957,0.33,144,41
Cutibacterium,1912216,0.44,190,1053
Actinomyces,1654,0.29,125,46
Micrococcus,1269,5.46,2367,1916
Acinetobacter,469,0.31636000000000003,409.56,4202
Pseudomonas,286,1.37,594,10410
Aeromonas,642,0.21,91,9
Porphyromonas,836,0.4,171,15
