name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus capitis,29388,70.9,30722,19720
Staphylococcus epidermidis,1282,6.23,2700,476
Staphylococcus warneri,1292,0.25,110,639
Staphylococcus_u_s,1279,0.29,126,1556
Staphylococcus massiliensis,555791,0.19,81,1063
Staphylococcus lugdunensis,28035,0.18,80,689
Staphylococcus aureus,1280,7.77,3365,2835
Jeotgalicoccus_u_s,227979,0.21,93,76
Aerococcus viridans,1377,1.56,676,6122
Finegoldia magna,1260,0.41,178,123
Corynebacterium pseudogenitalium,38303,1.31,567,4056
Corynebacterium tuberculostearicum,38304,1.25,543,3115
Propionibacteriaceae_u_s,31957,0.33,144,41
Cutibacterium granulosum,33011,0.44,190,1053
Actinomyces neuii,33007,0.29,125,46
Micrococcus luteus,1270,5.46,2367,1916
Acinetobacter_u_s,469,0.31,134,215
Acinetobacter towneri,202956,0.2,85,1685
Acinetobacter sp. MDS7A,1209355,0.44,191,2302
Pseudomonas sp. 1-7,633150,1.37,594,10410
Aeromonas_u_s,642,0.21,91,9
Porphyromonas_u_s,836,0.4,171,15
