name,tax_id,relative_abundance,abundance_score,hit_frequency
Acinetobacter sp. CIP 101966_u_t,1144662,6.92,4603,4340
Acinetobacter calcoaceticus/baumannii complex_u_t,909768,0.22,150,15
Acinetobacter_u_t,469,0.89,592,60
Pseudomonas sp. 1-7_u_t,633150,9.7,6456,154984
Pseudomonas_u_t,286,0.2,133,18
Aeromonas sp. HZM_u_t,1454008,0.74,493,947
Aeromonas_u_t,642,0.18,121,61
Klebsiella_u_t,570,0.15,100,408
Enterobacter_u_t,547,0.12,82,15
Shewanella_u_t,22,0.49,324,710
Halomonas_u_t,2745,0.13,86,12
Ochrobactrum_u_t,528,0.13,84,38
Brevundimonas_u_t,41275,0.15,99,42
Lactobacillus_u_t,1578,0.13,84,19
Streptococcus_u_t,1301,0.37,246,67
Staphylococcus sp. JGI 0001002-I23_u_t,1157683,0.95,634,115
Staphylococcus_u_t,1279,0.65,429,476
Exiguobacterium_u_t,33986,0.21,143,1516
Peptoniphilus_u_t,162289,0.2,133,472
Anaerococcus_u_t,165779,0.16,105,45
Rothia_u_t,32207,0.28,187,8
Propionibacteriaceae_u_t,31957,0.52,349,46
Mobiluncus_u_t,2050,0.36,242,30
