name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,36.14,393538.0,66.23,57.29,246
Staphylococcus aureus G 1466 Branch,,-,46.05,501431.0,61.43,61.43,84
Staphylococcus aureus GI 33390920,,-,17.8,193808.0,40.76,40.76,86
