name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,78.34492999999998,194918.9,18895
Streptococcus,1301,0.07,151,9
Cutibacterium,1912216,4.61528,16355.18,13969
Propionibacterium,1743,5.53,12711,157277
Propionibacteriaceae_u_g,31957,0.04,89,190
Corynebacterium,1716,0.08367000000000001,3312.04,20474
Kocuria,57493,0.11,264,1208
Micrococcus,1269,0.41,951,800
Microbacterium,33882,0.12,275,1231
Brachybacterium,43668,0.14,317,6255
Neisseriaceae_u_g,481,0.04,99,18
Neisseria,482,0.03,80,39
Enhydrobacter,212791,0.11,260,3035
Capnocytophaga,1016,0.06,131,11
