name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Streptococcus phage DCC1738,1448273,25.2,10559.0,1.64,2.54,333
Human immunodeficiency virus 1,11676,34.32,14385.0,2.33,2.33,125
Human papillomavirus type 5,333923,15.95,6683.0,1.55,1.55,59
Siphoviridae,10699,24.53,10282.0,2.29,2.29,63
