name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 1527 Branch,,-,50.4,533071.0,61.47,61.47,91
Staphylococcus aureus GENE isdF,,-,13.31,140739.0,41.38,41.38,24
Staphylococcus lentus GENE repL,,-,20.73,219222.0,44.91,44.91,104
Staphylococcus lentus GI 60416745,,-,15.56,164596.0,58.33,58.33,14
