name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,56.87,80489,255718
Staphylococcus capitis,29388,7.29,10317,22889
Staphylococcus sp. TE8,1472720,0.17,245,805
Staphylococcus caprae,29380,0.1,149,3352
Staphylococcus_u_s,1279,0.09,128,9
Staphylococcus lugdunensis,28035,0.06,79,612
Staphylococcus pettenkoferi,170573,0.46,648,13186
Staphylococcus hominis,1290,0.26,362,134
Streptococcus sanguinis,1305,0.69,970,4541
Streptococcus mutans,1309,0.08,115,140
Streptococcus_u_s,1301,0.06,79,253
Facklamia languida,82347,0.1,147,2079
Dolosigranulum pigrum,29394,0.2,283,4352
Anaerococcus prevotii,33034,0.08,119,24
Anaerococcus provencensis,938293,0.38,543,6941
Propionibacterium sp. KPL2003,1203631,9.74,13791,83
Cutibacterium acnes,1747,9.72,13759,363
Cutibacterium granulosum,33011,0.89,1261,1833
Kocuria palustris,71999,0.44,618,2660
Rothia dentocariosa,2047,0.16,230,1651
Nesterenkonia massiliensis,1232429,0.12,171,3847
Micrococcus luteus,1270,4.06,5746,7311
Microbacterium sp. KROCY2,1305732,0.47,667,3197
Brachybacterium paraconglomeratum,173362,0.1,140,2949
Corynebacterium jeikeium,38289,0.31,445,124
Corynebacterium pseudogenitalium,38303,2.39,3386,26982
Corynebacterium tuberculostearicum,38304,2.29,3247,21332
Corynebacterium propinquum,43769,0.45,635,13151
Corynebacterium minutissimum,38301,0.42,594,12304
Corynebacterium sp. ATCC 6931,1487956,0.21,304,3449
Corynebacterium ihumii,1232427,0.08,120,2693
Corynebacterium ureicelerivorans,401472,0.08,114,2324
Dietzia_u_s,37914,0.19,272,46
Actinomyces odontolyticus,1660,0.06,79,538
Bordetella pertussis,520,0.07,103,176
Neisseriaceae_u_s,481,0.11,152,34
Klebsiella oxytoca,571,0.16,220,307
Raoultella ornithinolytica,54291,0.22,319,288
Serratia_u_s,613,0.06,89,15
Acinetobacter johnsonii,40214,0.08,110,730
Acinetobacter_u_s,469,0.08,115,7
Acinetobacter baumannii,470,0.06,78,18
Caulobacter sp. JGI 0001013-D04,1157680,0.08,107,1896
