name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Balansia obtecta B249,1405085,67.48,521888.0,4.16,4.26,287989
Malassezia,55193,0.21,1602.0,0.48,0.49,16
Malassezia restricta CBS 7877,425264,21.42,165643.0,15.68,15.65,24145
Malassezia globosa CBS 7966,425265,10.89,84247.0,8.52,8.51,12969
