name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage 6ec,1500386,22.35,277358.0,34.87,20.92,17943
Staphylococcus phage vB_SepS_SEP9,1434319,12.85,159484.0,29.3,11.78,12932
Staphylococcus phage CNPH82,398839,4.49,55748.0,4.7,3.4,2826
Staphylococcus phage Ipla7,1197953,3.93,48792.0,6.46,5.24,655
Staphylococcus phage PH15,399185,3.74,46434.0,5.31,2.64,1052
Staphylococcus phage Ipla5,1197952,2.9,35977.0,4.5,4.44,1242
Staphylococcus phage StB27,1147044,1.79,22226.0,2.54,2.6,1365
Staphylococcus phage StB20,1147043,41.34,512987.0,26.79,26.85,34350
Brochothrix phage BL3,764562,4.04,50087.0,6.4,6.42,1690
Propionibacterium phage P105,1229788,0.86,10619.0,2.24,1.34,47
Brochothrix phage A9,857312,0.77,9544.0,1.36,1.36,891
Human immunodeficiency virus 1,11676,0.58,7233.0,1.96,1.96,32
Equine infectious anemia virus,11665,0.37,4569.0,1.09,1.09,53
