name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Malassezia restricta CBS 7877,425264,87.07,14201.0,1.73,1.73,2603
Balansia obtecta B249,1405085,12.93,2109.0,0.33,0.32,514
