name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Balansia obtecta B249,1405085,72.59,90992.0,3.98,4.07,41593
Malassezia restricta CBS 7877,425264,26.31,32985.0,3.7,3.7,5325
Malassezia globosa CBS 7966,425265,1.1,1378.0,0.24,0.23,324
