name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Human immunodeficiency virus 1,11676,54.76,379578.0,5.02,5.02,4092
Equine infectious anemia virus,11665,18.19,126064.0,1.88,1.88,3498
Lactobacillus phage phi jlb1,1416334,11.49,79659.0,9.9,8.76,1297
Propionibacterium phage P105,1229788,2.72,18856.0,5.08,2.36,92
Propionibacterium phage PHL111M01,1235653,1.39,9661.0,4.35,1.0,37
Propionibacterium phage P1.1,1229792,1.38,9582.0,2.03,1.09,38
Stx2-converting phage 1717,563769,0.88,6122.0,1.27,1.13,88
Lactobacillus phage phiadh,12417,3.08,21319.0,3.08,3.06,773
Staphylococcus phage StB20,1147043,1.26,8736.0,1.44,1.44,328
Siphoviridae,10699,1.07,7390.0,2.14,2.14,59
Lactobacillus prophage Lj771,139871,3.78,26214.0,3.71,3.19,670
