name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Beta-lactam-resistance blaTEM 219,,-,23.36,312625.0,100.0,100.0,12
Beta-lactam-resistance blaTEM 96,,-,17.57,235200.0,70.97,64.0,16
Beta-lactam-resistance blaOXA 282 Branch,,-,59.06,790419.0,66.67,66.67,45
