name,tax_id,relative_abundance,abundance_score,hit_frequency
Propionibacteriales,85009,40.28323,1580114.6800000002,619008
Corynebacteriales,85007,0.12997999999999998,21196.309999999998,105626
Micrococcales,85006,0.023860000000000003,7741.480000000001,29699
Actinomycetales,2037,0.01006,240.55,271
Bifidobacteriales,85004,0.01,89,1425
Bacillales,1385,10.655850000000003,251062.9,61128
Lactobacillales,186826,0.04112,2849.4900000000002,3186
Tissierellales,1737405,0.02553,29613.2,535193
Tissierellia_u_o,1737404,0.04,783,6073
Clostridiales,186802,0.11005,2127.67,4353
Veillonellales,1843489,0.00077,1547.22,8008
Campylobacterales,213849,0.02,430,1552
Enterobacterales,91347,0.0,80,6
Pseudomonadales,72274,0.01,226,114
Synergistales,649776,0.01,226,80
Bacteroidales,171549,0.02051,1379.46,14781
