name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,88.66,65086,864
Staphylococcus sp. MDS7B,1209359,0.22,162,529
Staphylococcus warneri,1292,1.7,1248,246
Staphylococcus capitis,29388,0.43,317,148
Staphylococcus_u_s,1279,0.4,297,801
Staphylococcus hominis,1290,0.11,82,32
Bacillus thermoamylovorans,35841,0.37,272,207
Paenibacillus sophorae,1333845,0.7,518,5846
Aerococcus viridans,1377,0.35,255,2264
Streptococcus sanguinis,1305,0.25,183,6
Streptococcus mitis,28037,0.11,79,593
Streptococcus_u_s,1301,0.18,131,15
Rothia mucilaginosa,43675,0.33,242,1013
Kocuria_u_s,57493,0.15,109,13
Micrococcus luteus,1270,1.22,898,766
Propionibacteriaceae_u_s,31957,0.94,689,78
[Propionibacterium] namnetense,1574624,0.16,115,2606
Acinetobacter lwoffii,28090,0.78,569,400
Acinetobacter_u_s,469,0.17,122,368
Acinetobacter sp. CIP 101966,1144662,0.76,559,334
Acinetobacter johnsonii,40214,0.34,249,935
Haemophilus parahaemolyticus,735,0.27,196,605
Enhydrobacter aerosaccus,225324,1.25,916,8700
Brevundimonas_u_s,41275,0.17,121,39
