name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcaceae,90964,88.68869000000001,67193.14,2620
Bacillaceae,186817,0.37,272,207
Paenibacillaceae,186822,0.7,518,5846
Aerococcaceae,186827,0.35,255,2264
Streptococcaceae,1300,0.25285,392.51,614
Micrococcaceae,1268,0.34371,1248.9299999999998,1792
Propionibacteriaceae,31957,0.9415699999999999,804.37,2684
Moraxellaceae,468,0.79267,1498.77,2037
Pasteurellaceae,712,0.27,196,605
Rhodospirillales_u_f,204441,1.25,916,8700
Caulobacteraceae,76892,0.17,121,39
