name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Balansia obtecta B249,1405085,13.17,876.0,0.15,0.14,307
Malassezia restricta CBS 7877,425264,71.39,4748.0,0.66,0.65,1018
Malassezia globosa CBS 7966,425265,15.44,1027.0,0.17,0.17,275
