name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,25.16,94319,614
Propionibacterium sp. 5_U_42AFAA,450748,24.86,93202,96
Propionibacterium_u_s,1743,20.35,76283,24
Micrococcus luteus,1270,0.03,128,30
Staphylococcus epidermidis,1282,6.86,25727,33105
Staphylococcus sp. JGI 0001002-I23,1157683,2.17,8131,8773
Staphylococcus capitis,29388,9.91,37151,71587
Staphylococcus_u_s,1279,0.27,999,66
Staphylococcus aureus,1280,10.24,38408,16617
Streptococcus_u_s,1301,0.02,82,149
Escherichia coli,562,0.09,331,391
Caulobacter sp. JGI 0001013-D04,1157680,0.03,133,2166
