name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus phage Ipla7,1197953,25.82,747231.0,22.41,30.44,38489
Staphylococcus phage CNPH82,398839,1.64,47501.0,5.17,4.06,910
Staphylococcus phage PH15,399185,8.58,248229.0,9.67,4.07,5837
Staphylococcus phage Ipla5,1197952,0.83,24165.0,3.47,1.21,297
Staphylococcus phage 11,12360,3.16,91478.0,21.32,1.94,18
Staphylococcus phage 69,320834,2.88,83432.0,20.04,1.91,64
Staphylococcus phage 85,59506,3.39,98070.0,21.96,2.81,68
Staphylococcus phage phiMR25,487152,2.1,60777.0,18.39,1.65,118
Staphylococcus phage 80alpha,53369,0.53,15178.0,25.39,4.07,19
Staphylococcus phage phiETA2,326036,2.26,65357.0,19.21,1.66,81
Staphylococcus phage TEM123,1168613,4.53,131009.0,25.04,2.99,93
Staphylococcus phage SA12,1347760,2.71,78491.0,24.93,1.63,37
Staphylococcus phage phiBU01,1519999,4.19,121201.0,25.62,2.61,42
unclassified Siphoviridae,196894,5.43,157169.0,17.58,8.24,222
Staphylococcus phage P954,668618,2.79,80771.0,20.99,4.43,286
Staphylococcus phage PVL,71366,4.47,129420.0,15.31,1.63,22
Staphylococcus phage JS01,1273712,5.49,158789.0,16.87,3.31,123
Staphylococcus phage StauST398-5,1308897,2.06,59537.0,8.34,9.9,164
Staphylococcus phage tp310-2,445516,0.43,12591.0,2.05,4.07,249
Staphylococcus phage StB12,1147042,0.58,16689.0,1.28,1.09,1469
Staphylococcus phage StB20,1147043,7.09,205186.0,15.24,11.71,9079
Siphoviridae,10699,1.33,38549.0,2.68,18.97,1204
Staphylococcus phage 42E,320837,1.21,34944.0,4.78,1.55,116
Pa6virus,1982251,0.11,3259.0,0.98,1.47,20
Staphylococcus phage phiPVL-CN125,648017,1.53,44238.0,6.03,2.31,40
Staphylococcus phage PT1028,320831,4.85,140323.0,15.9,15.9,2537
