name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage TEM123,1168613,13.86,448141.0,43.72,18.11,707
Staphylococcus phage SA12,1347760,0.57,18300.0,31.5,1.68,82
Staphylococcus phage phiNM,387905,0.25,8206.0,47.89,1.52,25
Staphylococcus phage P954,668618,8.84,285754.0,31.11,15.51,685
Staphylococcus phage phiNM3,387909,2.31,74578.0,29.7,2.49,28
Staphylococcus phage phiBU01,1519999,2.42,78185.0,25.0,3.17,75
Staphylococcus phage PVL,71366,3.8,122759.0,17.99,3.47,46
Staphylococcus phage StauST398-5,1308897,3.11,100569.0,12.37,21.27,408
Staphylococcus phage tp310-2,445516,1.53,49360.0,5.65,12.15,1113
Staphylococcus phage Sap26,872294,1.92,62058.0,36.86,1.84,88
Staphylococcus phage phiMR25,487152,3.97,128257.0,40.85,4.32,252
Staphylococcus phage 85,59506,3.55,114844.0,41.44,3.88,192
Staphylococcus phage 11,12360,0.83,26684.0,49.06,4.09,58
Staphylococcus phage phiETA2,326036,9.52,307652.0,35.93,12.31,629
Staphylococcus phage 92,320849,4.86,157246.0,21.28,1.72,30
Staphylococcus phage 88,320848,4.81,155491.0,20.32,2.19,45
Staphylococcus phage phiETA,106284,3.82,123347.0,15.27,3.96,236
Staphylococcus phage phiETA3,326037,4.98,161106.0,17.26,1.1,45
Staphylococcus phage 13,186153,4.42,143073.0,20.16,2.98,95
Staphylococcus phage Pvl108,360398,0.46,14740.0,13.67,2.19,30
Staphylococcus phage 42E,320837,1.27,40999.0,5.58,5.31,374
Staphylococcus phage phiPVL-CN125,648017,4.32,139503.0,15.93,1.71,33
Staphylococcus phage PT1028,320831,1.12,36193.0,5.14,5.14,672
Human polyomavirus 6,746830,7.89,255148.0,35.07,35.07,1006
Staphylococcus phage tp310-3,445517,5.6,181117.0,22.28,5.15,68
