name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcaceae,1268,33.352669999999996,12238.21,57851
Microbacteriaceae,85023,1.06,356,1342
Brevibacteriaceae,85019,0.47,156,3764
Micrococcales_u_f,85006,0.67,225,631
Dermabacteraceae,85020,0.87,292,5626
Propionibacteriaceae,31957,11.61247,7939.49,2036
Corynebacteriaceae,1653,0.6630000000000001,1645.32,20921
Pseudonocardiaceae,2070,5.9,1973,5438
Staphylococcaceae,90964,2.73692,1475.85,1017
Lactobacillaceae,33958,1.43703,714.1800000000001,1322
Aerococcaceae,186827,1.5823200000000002,605.51,5261
Enterococcaceae,81852,0.34,113,6
Streptococcaceae,1300,0.55877,478.28,709
Peptoniphilaceae,1570339,0.31,103,65
Moraxellaceae,468,2.3768499999999997,3009.0899999999997,3167
Pseudomonadaceae,135621,2.77877,1220.43,4331
Aeromonadaceae,84642,1.05,351,31
Xanthomonadaceae,32033,0.36,121,46
Enterobacteriaceae,543,0.31,103,62
Brucellaceae,118882,0.72,242,5749
Rhodobacteraceae,31989,0.25,85,2141
