name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage Ipla5,1197952,12.88,61206.0,11.22,5.87,1086
Staphylococcus phage PH15,399185,12.69,60301.0,12.95,4.68,669
Staphylococcus phage Ipla7,1197953,8.87,42133.0,11.48,3.64,415
Staphylococcus phage CNPH82,398839,6.25,29667.0,9.15,3.06,427
Staphylococcus phage StauST398-5,1308897,21.78,103461.0,13.46,2.25,23
Staphylococcus phage StauST398-4,1308896,15.1,71740.0,9.6,12.58,362
Staphylococcus phage StB27,1147044,5.08,24154.0,3.47,3.16,870
Staphylococcus phage StB12,1147042,2.13,10111.0,1.95,1.48,420
Staphylococcus phage StB20,1147043,6.37,30269.0,3.97,2.06,600
Propionibacterium phage P105,1229788,5.75,27322.0,4.81,3.82,134
Propionibacterium phage ATCC29399B_C,1229794,0.89,4221.0,1.01,1.18,19
Human immunodeficiency virus 1,11676,2.2,10437.0,2.45,2.45,54
