name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcaceae,1268,24.65485,18442.47,113969
Microbacteriaceae,85023,0.9,572,2954
Propionibacteriaceae,31957,11.354519999999999,8108.009999999999,6627
Corynebacteriaceae,1653,0.38748000000000005,9498.669999999998,198197
Pseudonocardiaceae,2070,3.87,2455,8257
Actinomycetaceae,2049,0.14214000000000002,226.88,6669
Staphylococcaceae,90964,8.87552,10362.480000000001,35962
Paenibacillaceae,186822,4.17,2647,40416
Streptococcaceae,1300,0.12688,513.51,167
Lactobacillaceae,33958,0.21,132,22
Carnobacteriaceae,186828,0.14,92,13
Peptoniphilaceae,1570339,0.47132999999999997,384.1,1349
Veillonellaceae,31977,0.14,87,13
Alcaligenaceae,506,0.29,182,423
Oxalobacteraceae,75682,0.15,94,20
Neisseriaceae,481,0.25164,261.15,491
Moraxellaceae,468,0.55158,1074.43,4656
Pseudomonadaceae,135621,0.18,115,3044
Pasteurellaceae,712,0.13,80,28
Enterobacteriaceae,543,0.32,203,24
Shewanellaceae,267890,0.19,118,176
Xanthomonadaceae,32033,0.13,81,526
Rhodospirillales_u_f,204441,10.59,6713,118310
Acetobacteraceae,433,0.15,94,2282
Rhodobacteraceae,31989,0.76,480,14254
Bacteroidaceae,815,0.3,191,6923
Prevotellaceae,171552,0.15134,181.87,1055
