name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Malassezia restricta CBS 7877,425264,92.56,10918.0,1.37,1.37,2053
Malassezia globosa CBS 7966,425265,7.43,877.0,0.15,0.15,250
