name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Propionibacterium phage P101A,1229786,4.34,54131.0,8.54,1.66,134
Propionibacterium phage P100_1,1229791,2.69,33530.0,6.72,1.15,77
Propionibacterium phage PHL060L00,1235647,4.31,53664.0,8.19,1.32,104
Propionibacterium phage P9.1,1229782,4.68,58337.0,7.66,2.89,186
Propionibacterium phage PA6,376758,4.51,56265.0,7.27,2.3,181
Propionibacterium phage PHL111M01,1235653,4.08,50885.0,7.13,1.64,125
Propionibacterium phage P105,1229788,2.98,37174.0,6.04,1.11,58
Propionibacterium phage PAS50,504553,3.41,42553.0,6.9,1.53,114
Propionibacterium phage PAD20,504501,2.87,35719.0,5.54,1.78,176
Propionibacterium phage PHL114L00,1235656,1.68,20964.0,3.19,1.41,157
Propionibacterium phage ATCC29399B_C,1229794,2.08,25863.0,4.33,1.3,39
Propionibacterium phage P100D,1229789,5.38,67074.0,8.51,2.45,188
Propionibacterium phage PHL113M01,1235655,4.79,59680.0,8.06,2.64,162
Propionibacterium phage P1.1,1229792,4.78,59508.0,7.71,1.35,123
Propionibacterium phage P104A,1229787,4.38,54595.0,7.54,3.23,229
Propionibacterium phage PHL112N00,1235654,3.91,48664.0,6.56,1.56,110
Propionibacterium phage P14.4,1229784,3.61,45008.0,6.16,1.57,132
Propionibacterium phage PHL067M10,1235649,2.8,34912.0,5.28,1.07,62
Staphylococcus phage StB20,1147043,19.32,240835.0,19.56,19.6,12145
Siphoviridae,10699,2.16,26888.0,6.76,6.76,23
Staphylococcus phage Ipla5,1197952,1.73,21591.0,2.65,1.48,482
Staphylococcus phage PH15,399185,0.63,7849.0,1.23,1.04,250
Staphylococcus phage CNPH82,398839,1.52,18942.0,2.67,1.65,281
Staphylococcus phage Ipla7,1197953,0.88,10911.0,1.65,2.33,350
unclassified Lambda-like viruses,335795,2.32,28878.0,4.36,4.51,216
Escherichia phage TL-2011b,1124654,0.79,9902.0,1.44,1.44,415
Merkel cell polyomavirus,493803,3.37,42028.0,7.62,7.62,199
