name,tax_id,relative_abundance,abundance_score,hit_frequency
Kocuria marina,223184,13.28,14547,694608
Kocuria palustris,71999,1.1,1209,18696
Kocuria rhizophila,72000,2.43,2663,42713
Kocuria_u_s,57493,0.08,84,2512
Micrococcus luteus,1270,1.44,1573,7719
Rothia dentocariosa,2047,0.47,513,6255
Rothia_u_s,32207,0.08,89,266
Rothia mucilaginosa,43675,0.23,247,1197
Brevibacterium linens,1703,0.07,79,6744
Brevibacterium casei,33889,7.94,8699,268913
Brevibacterium sp. VCM10,1381751,0.15,167,14801
Brevibacterium senegalense,1033736,0.08,86,4742
Microbacterium sp. KROCY2,1305732,1.18,1288,14136
Agrococcus_u_s,46352,0.07,77,1703
Dermabacter hominis,36740,0.08,91,4400
Brachybacterium muris,219301,4.47,4900,289115
Brachybacterium paraconglomeratum,173362,0.42,456,18750
Brachybacterium squillarum,661979,0.12,127,9960
Brachybacterium faecium,43669,0.08,85,7098
Corynebacterium matruchotii,43768,0.11,120,1640
Corynebacterium ureicelerivorans,401472,12.43,13618,555558
Corynebacterium lipophiloflavum,161889,7.17,7855,327858
Corynebacterium ihumii,1232427,0.36,400,11814
Corynebacterium pseudogenitalium,38303,0.2,222,1866
Corynebacterium tuberculostearicum,38304,0.2,216,1567
Corynebacterium pyruviciproducens,598660,0.13,143,3798
Corynebacterium jeddahense,1414719,0.11,122,7953
Corynebacterium durum,61592,0.07,76,2363
Gordonia aichiensis,36820,0.42,461,10820
Cutibacterium acnes,1747,2.38,2607,80
Cutibacterium granulosum,33011,0.07,80,550
Propionibacteriaceae_u_s,31957,1.68,1843,135
Propionimicrobium_u_s,203133,0.09,97,766
Gardnerella vaginalis,2702,1.29,1413,1809
Actinomyces neuii,33007,0.53,577,11671
Actinomyces viscosus,1656,0.39,431,3374
Actinomyces sp. oral taxon 175,712119,0.34,374,2152
Actinobaculum massiliense,202789,0.07,79,1844
Staphylococcus epidermidis,1282,4.65,5096,70
Staphylococcus sp. MDS7B,1209359,4.49,4913,6705
Staphylococcus aureus,1280,0.97,1057,187
Staphylococcus haemolyticus,1283,1.33,1453,1004
Staphylococcus warneri,1292,0.57,624,9
Staphylococcus pasteuri,45972,0.14,158,1489
Staphylococcus_u_s,1279,0.18,192,1680
Staphylococcus capitis,29388,0.22,246,119
Staphylococcus hominis,1290,1.56,1710,1459
Paenibacillus sophorae,1333845,1.16,1270,18849
Streptococcus anginosus,1328,0.2,219,980
Streptococcus_u_s,1301,0.24,259,25
Streptococcus mutans,1309,0.13,144,37
Streptococcus sanguinis,1305,0.07,75,118
Streptococcus sp. 2_1_36FAA,469609,0.09,101,1038
Streptococcus oralis,1303,0.09,96,504
Streptococcus cristatus,45634,0.09,99,164
Lactobacillus_u_s,1578,0.27,290,17
Facklamia hominis,178214,0.2,217,1190
Finegoldia magna,1260,0.8,878,142
Anaerococcus hydrogenalis,33029,0.4,436,1866
Anaerococcus tetradius,33036,0.11,124,1562
Peptoniphilus harei,54005,0.18,193,2161
Veillonella_u_s,29465,0.18,192,91
Megasphaera_u_s,906,0.09,96,17
Lachnospiraceae_u_s,186803,0.24,264,6
Bordetella pertussis,520,12.53,13727,48330
Herbaspirillum_u_s,963,0.07,77,918
Acidovorax_u_s,12916,0.07,75,10
Neisseriaceae_u_s,481,0.13,140,13
Acinetobacter sp. CIP 102637,1144669,0.48,522,1078
Acinetobacter_u_s,469,0.51,559,93
Acinetobacter junii,40215,0.07,78,94
Pseudomonas putida,303,0.77,841,1309
Pseudomonas_u_s,286,0.17,182,2518
Haemophilus parainfluenzae,729,0.15,165,372
Klebsiella michiganensis,1134687,0.51,556,28
Klebsiella sp. AS10,936564,0.4,435,300
Pantoea_u_s,53335,0.07,77,13
Shewanella baltica,62322,0.09,94,100
Xanthomonas campestris,339,0.14,149,838
Enhydrobacter aerosaccus,225324,1.88,2055,23181
Roseomonas_u_s,125216,0.08,92,1598
Brevundimonas_u_s,41275,0.07,77,539
Paracoccus sanguinis,1545044,0.1,106,416
Aureimonas_u_s,414371,0.23,253,16
Methylobacterium sp. MB200,648885,0.24,264,6419
Prevotella bivia,28125,0.26,281,97
Prevotella_u_s,838,0.07,77,144
Bacteroides neonati,1347393,0.16,171,4975
Porphyromonas_u_s,836,0.12,135,10
