name,tax_id,relative_abundance,abundance_score,hit_frequency
Actinobacteria,1760,13.76538,67713.81999999998,2361946
Bacilli,91061,4.770510000000001,18296.980000000003,35766
Tissierellia,1737404,0.80687,1631.0700000000002,5731
Negativicutes,909932,0.18087,287.57,108
Clostridia,186801,0.24,264,6
Betaproteobacteria,28216,12.53267,14019.109999999999,49271
Gammaproteobacteria,1236,0.51003,3809.51,6753
Alphaproteobacteria,28211,1.8872299999999997,2847.7499999999995,32169
Bacteroidia,200643,0.2635,664.05,5226
