name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcaceae,1268,13.338229999999998,20924.56,773966
Brevibacteriaceae,85019,0.15174,9031.27,295200
Microbacteriaceae,85023,1.18071,1365.38,15839
Dermabacteraceae,85020,0.13083,5658.610000000001,329323
Corynebacteriaceae,1653,0.31679,22772.140000000003,914417
Gordoniaceae,85026,0.42,461,10820
Propionibacteriaceae,31957,2.39844,4626.389999999999,1531
Bifidobacteriaceae,31953,1.29,1413,1809
Actinomycetaceae,2049,0.5380600000000001,1461.0500000000002,19041
Staphylococcaceae,90964,4.7445200000000005,15449.26,12722
Paenibacillaceae,186822,1.16,1270,18849
Streptococcaceae,1300,0.20706000000000002,992.5699999999999,2866
Lactobacillaceae,33958,0.2707,367.21,139
Aerococcaceae,186827,0.2,217,1190
Peptoniphilaceae,1570339,0.80687,1631.0700000000002,5731
Veillonellaceae,31977,0.18087,287.57,108
Lachnospiraceae,186803,0.24,264,6
Alcaligenaceae,506,12.53,13727,48330
Oxalobacteraceae,75682,0.07,77,918
Comamonadaceae,80864,0.07,75,10
Neisseriaceae,481,0.13,140,13
Moraxellaceae,468,0.48582,1158.87,1265
Pseudomonadaceae,135621,0.7730400000000001,1173.88,3837
Pasteurellaceae,712,0.15,165,372
Enterobacteriaceae,543,0.51397,991.0899999999999,328
Erwiniaceae,1903409,0.07,77,13
Shewanellaceae,267890,0.09,94,100
Xanthomonadaceae,32033,0.14,149,838
Rhodospirillales_u_f,204441,1.88,2055,23181
Acetobacteraceae,433,0.08,92,1598
Caulobacteraceae,76892,0.07,77,539
Rhodobacteraceae,31989,0.1,106,416
Aurantimonadaceae,255475,0.23,253,16
Methylobacteriaceae,119045,0.24,264,6419
Prevotellaceae,171552,0.26071,358.40999999999997,241
Bacteroidaceae,815,0.16,171,4975
Porphyromonadaceae,171551,0.12,135,10
