name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Malassezia restricta CBS 7877,425264,83.29,271666.0,23.44,23.44,44205
Malassezia globosa CBS 7966,425265,3.81,12409.0,1.51,1.5,2417
Melampsora pinitorqua Mpini7,1298852,0.62,2019.0,0.37,0.17,1211
Puccinia arachidis,333523,0.61,1976.0,0.32,0.28,617
Balansia obtecta B249,1405085,9.11,29728.0,2.79,2.84,7937
Onygenales,33183,0.45,1451.0,0.25,0.2,424
Cyberlindnera jadinii NBRC 0988,1128122,1.4,4554.0,0.63,0.63,991
Debaryomyces hansenii CBS767,284592,0.38,1235.0,0.21,0.21,303
Candida parapsilosis,5480,0.34,1124.0,0.19,0.19,290
