name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus phage 6ec,1500386,7.31,120823.0,20.0,11.98,6223
Staphylococcus phage vB_SepS_SEP9,1434319,4.83,79881.0,17.71,8.11,4446
Staphylococcus phage Ipla5,1197952,3.4,56202.0,7.97,6.37,1276
Staphylococcus phage PH15,399185,2.66,43923.0,7.33,4.45,760
Staphylococcus phage Ipla7,1197953,3.9,64453.0,8.99,8.26,1079
Staphylococcus phage CNPH82,398839,1.93,31890.0,6.63,3.37,508
Staphylococcus phage StB12,1147042,1.17,19399.0,3.1,2.31,652
Staphylococcus phage StB27,1147044,0.63,10358.0,2.27,1.34,361
Staphylococcus phage StB20,1147043,6.38,105436.0,11.65,11.2,3662
Propionibacterium phage PHL067M10,1235649,2.47,40828.0,5.75,2.22,153
Brochothrix phage BL3,764562,7.07,116939.0,13.21,13.3,3936
unclassified Siphoviridae,196894,0.38,6343.0,1.37,1.37,28
Streptococcus phage PH15,537874,1.05,17410.0,2.49,2.49,685
Propionibacterium phage PHL111M01,1235653,2.97,49181.0,8.09,2.51,154
Propionibacterium phage P105,1229788,2.47,40889.0,7.16,3.1,119
Propionibacterium phage P101A,1229786,1.85,30559.0,5.13,1.03,49
Propionibacterium phage P100_1,1229791,1.23,20432.0,3.5,1.31,62
Propionibacterium phage PHL060L00,1235647,2.7,44665.0,5.75,2.61,256
Propionibacterium phage PAD20,504501,1.81,29880.0,4.52,1.86,129
Propionibacterium phage PAS50,504553,1.57,26030.0,4.19,1.25,84
Propionibacterium phage PA6,376758,2.25,37125.0,5.15,1.73,139
Propionibacterium phage ATCC29399B_C,1229794,2.08,34359.0,4.97,4.72,117
Propionibacterium phage PHL113M01,1235655,3.93,65030.0,7.53,4.72,449
Propionibacterium phage P100D,1229789,2.97,49173.0,6.71,1.9,133
Propionibacterium phage P1.1,1229792,2.79,46114.0,6.58,1.72,106
Propionibacterium phage PHL071N05,1235650,2.44,40359.0,5.9,1.97,129
Propionibacterium phage P104A,1229787,2.14,35331.0,5.2,1.86,132
Propionibacterium phage P14.4,1229784,1.88,31060.0,4.78,1.23,84
Siphoviridae,10699,2.48,40946.0,6.76,6.76,52
Brochothrix phage A9,857312,5.26,87007.0,9.14,9.14,7626
P2virus,140410,2.49,41169.0,8.98,8.98,67
unclassified Myoviridae,196896,0.44,7284.0,1.75,1.75,46
Acinetobacter phage Bphi-B1251,1221835,0.55,9100.0,1.47,1.47,375
Human papillomavirus type 135,1070408,0.49,8108.0,1.82,1.82,69
Streptococcus phage phiBHN167,1267169,0.66,10851.0,1.85,2.16,210
Streptococcus phage 20617,1392231,0.48,7938.0,1.14,1.2,455
Human immunodeficiency virus 1,11676,6.95,114913.0,4.78,4.78,1258
Equine infectious anemia virus,11665,1.97,32533.0,1.88,1.88,873
