name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,28.900170000000003,152681.62,34827
Enterococcus,1350,1.16,3478,632
Streptococcus,1301,2.38,7169,119
Anaerococcus,165779,0.47786999999999996,6763.15,79615
Finegoldia,150022,1.56,4707,70766
Peptoniphilus,162289,0.9823999999999999,3679.83,32084
Peptostreptococcus,1257,0.47229,2117.2200000000003,13640
Dialister,39948,0.47,1407,5016
Corynebacterium,1716,0.20149999999999998,51727.25,162734
Propionibacterium,1743,4.37,13149,162733
Cutibacterium,1912216,2.10245,7054.02,17496
Propionibacteriaceae_u_g,31957,0.03,89,206
Dermabacter,36739,0.10068,498.55,5891
Micrococcus,1269,0.03,83,10
Pasteurella,745,9.81,29557,1008529
Haemophilus,724,0.04,131,3959
Campylobacter,194,0.03,100,96
Fusobacterium,848,2.22,6681,30640
Prevotella,838,3.34,10066,42496
