name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,24.77,194371,5667
[Propionibacterium] namnetense,1574624,0.05,422,7829
Cutibacterium granulosum,33011,0.02,167,898
[Propionibacterium] humerusii,1050843,0.01,103,630
Propionibacterium_u_s,1743,46.93,368248,1400
Corynebacterium accolens,38284,0.05,369,575
Corynebacterium sp. KPL1856,1203563,5.62,44084,493
Corynebacterium kroppenstedtii,161879,1.94,15240,1019788
Corynebacterium pseudogenitalium,38303,0.12,923,1482
Micrococcus luteus,1270,0.02,152,21
Rothia mucilaginosa,43675,0.01,85,412
Staphylococcus epidermidis,1282,20.04,157228,12149
Staphylococcus sp. JGI 0001002-I23,1157683,0.02,181,576
Staphylococcus capitis,29388,0.2,1566,4608
Staphylococcus_u_s,1279,0.03,227,9
Staphylococcus haemolyticus,1283,0.03,206,100
Staphylococcus lugdunensis,28035,0.01,93,81
Alloiococcus otitis,1652,0.07,567,8226
Anaerococcus prevotii,33034,0.02,186,103
Caulobacter sp. JGI 0001013-D04,1157680,0.03,231,4029
Tannerella sp. oral taxon HOT-286,712710,0.01,95,2751
