name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,33.1,521549.0,77.6,65.33,338
Staphylococcus aureus GI 33390939,,-,11.81,186003.0,52.38,52.38,28
Staphylococcus lentus GENE pre,,-,28.01,441212.0,62.27,62.27,555
Staphylococcus lentus GENE repC,,-,27.08,426720.0,63.11,63.11,456
