name,tax_id,relative_abundance,abundance_score,hit_frequency
Propionibacterium sp. 5_U_42AFAA_u_t,450748,34.73,361005,41339
Propionibacterium_u_t,1743,0.1,1084,1401
Acidipropionibacterium_u_t,1912215,0.01,81,600
Propionimicrobium sp. BV2F7_u_t,1111131,0.11,1194,2927
Kocuria_u_t,57493,0.02,210,2725
Microbacterium sp. KROCY2_u_t,1305732,0.03,269,1139
Dermabacter_u_t,36739,0.01,145,1130
Corynebacterium sp. KPL1824_u_t,1203561,0.48,5020,6196
Dietzia_u_t,37914,0.01,87,17
Actinomyces sp. S4-C9_u_t,1219581,0.07,714,11310
Pseudonocardia sp. P2_u_t,882856,0.01,100,5047
Coriobacteriaceae bacterium BV3Ac1_u_t,1111135,0.01,146,2431
Staphylococcus sp. JGI 0001002-I23_u_t,1157683,0.62,6464,2356
Lactobacillus_u_t,1578,0.03,278,1022
Streptococcus sp. HSISS3_u_t,1316412,0.03,301,450
Streptococcus_u_t,1301,0.02,179,34
Peptoniphilus sp. BV3AC2_u_t,1111133,0.01,96,2002
Helcococcus_u_t,31983,0.04,400,30
Tissierellia bacterium S5-A11_u_t,1230730,0.22,2309,21222
Christensenella_u_t,990721,0.01,126,404
Acinetobacter_u_t,469,0.17,1754,1448
Klebsiella_u_t,570,0.01,88,276
Ochrobactrum_u_t,528,0.01,93,26
Jonquetella sp. BV3C21_u_t,1111126,0.26,2674,657
Porphyromonas_u_t,836,0.04,447,13
Prevotella sp. BV3P1_u_t,1111130,0.03,315,420
Empedobacter_u_t,59734,0.01,91,71
