name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,97.04,684615,318
[Propionibacterium] namnetense,1574624,0.29,2017,41129
Cutibacterium granulosum,33011,0.17,1189,2552
[Propionibacterium] humerusii,1050843,0.02,125,91
Propionibacterium sp. KPL1844,1203573,0.32,2268,16664
Propionibacteriaceae_u_s,31957,0.01,83,26
Corynebacterium accolens,38284,0.01,78,75
Corynebacterium sp. KPL1856,1203563,0.29,2047,12
Rothia mucilaginosa,43675,0.01,96,555
Micrococcus luteus,1270,0.11,775,559
Dermacoccus sp. Ellin185,188626,0.03,248,3384
Staphylococcus epidermidis,1282,0.99,6963,190
Staphylococcus sp. JGI 0001002-I23,1157683,0.01,94,136
Staphylococcus capitis,29388,0.63,4449,2244
Staphylococcus warneri,1292,0.01,90,606
Escherichia coli,562,0.03,248,11
Caulobacter sp. JGI 0001013-D04,1157680,0.01,108,1919
