name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcaceae,1268,1.5072899999999998,6030.01,13101
Microbacteriaceae,85023,1.49,637,2959
Dermabacteraceae,85020,0.36,152,3226
Propionibacteriaceae,31957,8.71674,6970.2,321
Corynebacteriaceae,1653,0.58763,8611.010000000002,40178
Actinomycetaceae,2049,0.25,106,2510
Staphylococcaceae,90964,6.067900000000001,5462.59,14113
Paenibacillaceae,186822,1.29,549,4988
Lactobacillaceae,33958,0.7433299999999999,880.0,2992
Aerococcaceae,186827,0.43,182,391
Streptococcaceae,1300,0.39449,356.76,12
Peptoniphilaceae,1570339,0.62,264,232
Veillonellaceae,31977,0.33,141,20
Moraxellaceae,468,12.14181,9494.929999999998,52380
Pseudomonadaceae,135621,0.19,79,841
Yersiniaceae,1903411,0.31,132,3081
Enterobacteriaceae,543,0.4,170,19
Aeromonadaceae,84642,0.85,361,24
Xanthomonadaceae,32033,0.21,88,99
Rhodospirillales_u_f,204441,3.25,1390,15857
Rhodobacteraceae,31989,0.62234,365.82,6026
Caulobacteraceae,76892,0.18,76,35
Neisseriaceae,481,0.22,95,70
Porphyromonadaceae,171551,0.31,133,2794
