name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus epidermidis,1282,94.48,828827,7882
Staphylococcus capitis,29388,1.55,13571,10167
Staphylococcus sp. TE8,1472720,0.02,199,697
Staphylococcus caprae,29380,0.01,109,8088
Staphylococcus_u_s,1279,0.03,257,78
Staphylococcus warneri,1292,0.01,102,885
Staphylococcus lugdunensis,28035,0.02,172,1131
Staphylococcus aureus,1280,0.36,3193,71
Staphylococcus hominis,1290,0.05,411,2945
Paenibacillus sophorae,1333845,0.04,337,2985
Streptococcus parasanguinis,1318,0.02,185,5241
Anaerococcus prevotii,33034,0.01,124,54
Anaerococcus_u_s,165779,0.01,97,41
Anaerococcus provencensis,938293,0.01,113,3449
Peptoniphilus rhinitidis,1175452,0.02,156,1551
Veillonella_u_s,29465,0.01,111,10
Propionibacterium sp. 5_U_42AFAA,450748,1.07,9353,151
Propionibacterium_u_s,1743,0.33,2878,928
Propionibacteriaceae_u_s,31957,0.47,4128,337
Cutibacterium avidum,33010,0.48,4176,2703
Cutibacterium granulosum,33011,0.45,3918,7418
Kocuria rhizophila,72000,0.02,206,2339
Micrococcus luteus,1270,0.29,2543,2388
Corynebacterium jeikeium,38289,0.01,129,30
Corynebacterium tuberculostearicum,38304,0.05,429,2261
Corynebacterium pseudogenitalium,38303,0.05,418,2518
Corynebacterium minutissimum,38301,0.01,113,2584
Enhydrobacter aerosaccus,225324,0.09,811,8728
Neisseriaceae_u_s,481,0.01,77,14
Neisseria_u_s,482,0.01,83,39
