name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium,1912216,47.387170000000005,525721.14,27509
Propionibacterium,1743,44.41,485412,386
Propionibacteriaceae_u_g,31957,0.01,124,354
Corynebacterium,1716,0.022709999999999998,3180.72,36095
Turicella,144193,0.03,302,5507
Rothia,32207,0.1004,1475.09,12242
Actinomyces,1654,0.0103,446.64,2781
Gardnerella,2701,0.03,344,635
Staphylococcus,1279,3.7304600000000003,73752.04000000001,50105
Streptococcus,1301,0.03027,669.5,371
Lactobacillus,1578,0.01016,260.39,62
Granulicatella,117563,0.01,119,20
Alloiococcus,1651,0.01,141,2165
Anaerococcus,165779,0.01,103,56
Finegoldia,150022,0.01,110,72
Neisseriaceae_u_g,481,0.03,319,49
Caulobacter,75,0.04,421,6816
Haemophilus,724,0.01,90,172
