name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus capitis,29388,31.66,57236,125216
Staphylococcus sp. TE8,1472720,7.14,12908,42764
Staphylococcus caprae,29380,0.05,84,2502
Staphylococcus epidermidis,1282,7.84,14179,305
Staphylococcus haemolyticus,1283,0.28,504,197
Staphylococcus warneri,1292,0.21,377,37
Staphylococcus_u_s,1279,0.1,171,1772
Staphylococcus cohnii,29382,0.06,112,312
Staphylococcus lugdunensis,28035,0.12,209,113
Staphylococcus massiliensis,555791,0.05,84,1154
Staphylococcus hominis,1290,1.1,1989,1302
Staphylococcus aureus,1280,0.09,170,98
Bacillus_u_s,1386,0.06,111,12
Exiguobacterium_u_s,33986,0.23,415,4863
Paenibacillus sophorae,1333845,0.05,82,2712
Lactobacillus_u_s,1578,0.18,325,23
Granulicatella_u_s,117563,0.06,106,21
Dolosigranulum pigrum,29394,0.37,662,11278
Finegoldia magna,1260,0.08,144,37
Anaerococcus_u_s,165779,0.06,113,50
Veillonella_u_s,29465,0.13,240,38
Clostridiales_u_s,186802,0.04,82,10
Micrococcus luteus,1270,10.92,19733,97444
Kocuria palustris,71999,0.84,1513,9727
Kocuria rhizophila,72000,0.09,160,2203
Rothia dentocariosa,2047,0.15,270,3781
Rothia aeria,172042,0.05,90,526
Pseudoglutamicibacter albus,98671,0.15,280,7314
Dermacoccus sp. Ellin185,188626,0.37,674,8479
Dermacoccus nishinomiyaensis,1274,0.27,486,6039
Microbacterium sp. KROCY2,1305732,0.8,1445,6434
Brevibacterium ravenspurgense,479117,0.12,222,7134
Dermabacter_u_s,36739,0.06,108,1060
Cutibacterium acnes,1747,6.77,12243,69
[Propionibacterium] namnetense,1574624,0.13,229,4637
Cutibacterium granulosum,33011,0.08,137,953
Propionibacterium_u_s,1743,7.08,12793,28
Propionibacterium sp. KPL1844,1203573,0.11,200,1584
Corynebacterium jeikeium,38289,0.27,485,6019
Corynebacterium glucuronolyticum,39791,0.07,117,760
Corynebacterium genitalium,38288,9.11,16474,725246
Corynebacterium pseudogenitalium,38303,1.82,3292,29817
Corynebacterium tuberculostearicum,38304,1.68,3032,20857
Corynebacterium tuscaniense,302449,1.09,1963,47802
Corynebacterium jeddahense,1414719,0.37,670,40474
Corynebacterium ihumii,1232427,0.15,281,12737
Corynebacterium ureicelerivorans,401472,0.12,224,9421
Corynebacterium minutissimum,38301,0.09,159,4012
Corynebacterium striatum,43770,0.08,138,4274
Pseudonocardia sp. P2,882856,1.76,3191,15399
Actinomyces oris,544580,0.12,222,3607
Acinetobacter idrijaensis,1507807,0.76,1369,1311
Acinetobacter lwoffii,28090,1.43,2584,2600
Acinetobacter sp. CIP 101966,1144662,1.26,2278,1406
Acinetobacter_u_s,469,0.05,96,413
Acinetobacter baumannii,470,0.15,280,44
Acinetobacter towneri,202956,0.09,170,24
Acinetobacter junii,40215,0.04,78,21
Psychrobacter_u_s,497,0.06,102,16
Pseudomonas putida,303,0.44,801,887
Pseudomonas sp. 1-7,633150,0.1,176,3776
Pseudomonas stutzeri,316,0.05,85,503
Shewanella baltica,62322,0.12,215,175
Enhydrobacter aerosaccus,225324,0.32,575,7301
Paracoccus sp. PAMC 22219,1569209,0.13,237,7140
Herbaspirillum_u_s,963,0.05,98,76
Massilia timonae,47229,0.05,98,3014
Bacteroides neonati,1347393,0.22,390,11253
