name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,57.68126999999999,83120.56,307829
Facklamia,66831,0.08,116,1771
Dolosigranulum,29393,4.91,6720,146388
Streptococcus,1301,0.20917999999999998,1525.09,5550
Anaerococcus,165779,0.41,565,7476
Finegoldia,150022,0.06,88,78
Veillonella,29465,0.09,118,15
Cutibacterium,1912216,8.51314,12060.95,1018
Propionibacterium,1743,0.75,1021,7795
Rothia,32207,0.14146,389.02,4517
Kocuria,57493,0.18076,351.28,3479
Nesterenkonia,57494,0.19,255,5762
Micrococcus,1269,3.33,4552,5032
Microbacterium,33882,0.19,262,1297
Brachybacterium,43668,0.17,226,4713
Corynebacterium,1716,0.6082,18189.13,347690
Dietzia,37914,0.21,285,46
Actinomyces,1654,0.19615,1100.97,7481
Acinetobacter,469,1.4461799999999998,2808.59,3004
Pseudomonas,286,0.11,151,221
Haemophilus,724,0.15084,325.2,854
Klebsiella,570,0.2,267,404
Raoultella,160674,0.37,505,480
Serratia,613,0.13,176,996
Bordetella,517,0.1,135,260
Neisseria,482,0.55074,847.15,147
Morococcus,212742,0.21,280,1333
Rhizobiaceae_u_g,82115,0.13,181,66
Caulobacter,75,0.1,139,2449
