name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus phage Ipla5,1197952,2.96,15911.0,2.35,1.59,526
Staphylococcus phage Ipla7,1197953,3.05,16378.0,2.21,1.84,662
Staphylococcus phage CNPH82,398839,2.53,13572.0,2.33,1.52,455
Staphylococcus phage StB20,1147043,63.59,341371.0,23.15,23.49,19899
Propionibacterium phage P100_1,1229791,1.34,7217.0,1.61,1.15,36
Human papillomavirus 167,1420545,1.58,8494.0,1.88,1.88,73
Human papillomavirus type 136,1070409,0.77,4143.0,1.06,1.06,40
Human immunodeficiency virus 1,11676,17.66,94809.0,4.6,4.6,1032
Equine infectious anemia virus,11665,6.51,34965.0,1.88,1.88,948
